xx,yy,OBJECTID,Description,ParkType,Car_Park,Dog_Off_Leash_Area,Electric_BBQ,Picnic_Set,Rubbish_Bins,Shelter,Toilets,Water_Fountain,Basketball_Court,Play_Equipment,Playground_Area,Skate_Park,Exercise_Equipment,Suburb,ADDRESS,APS
510310.9478,6987482.5137,1,Plume Street Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,,,NO
501069.8632,6993095.9949,2,Wagtail Drive Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,DECEPTION BAY,5 YALLATUP STREET DECEPTION BAY,NO
500052.4954,6985431.1113,3,Haithi Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,Yes,No,No,No,KALLANGUR,18 DUFFIELD ROAD KALLANGUR,NO
486056.7173,7008125.149,4,Wamuran Sports Association,Park\District Sports,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,WAMURAN,84 CAMPBELLS POCKET ROAD WAMURAN,NO
494600.5941,6994588.3921,5,Harris Avenue Sports Complex,Park\District Sports,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,NARANGBA,164-168 YOUNG ROAD NARANGBA,NO
503814.2825,6991510.4732,6,Dunstan Drive Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,DECEPTION BAY,19 DUNSTAN DRIVE DECEPTION BAY,NO
482802.4487,7015709.8751,7,Manordowns Drive Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,D'AGUILAR,7-17 MANORDOWNS DRIVE D'AGUILAR,NO
501055.9804,6988631.2546,8,Borbridge Street Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,2 BORBIDGE STREET NORTH LAKES,NO
510731.9688,6988588.5143,9,Redcliffe Showgrounds,Park\Specific use Sp,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,REDCLIFFE,Lot 804 LAMINGTON DRIVE REDCLIFFE,NO
509500.1463,6990808.6896,10,Southern Cross Park,Park\Local Recreatio,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,NEWPORT,17A SOUTHERN CROSS DRIVE NEWPORT,NO
494049.2103,7001104.5833,11,Walkers Road Park,Park\Linear Linkage,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,MORAYFIELD,106-116 WALKERS ROAD MORAYFIELD,NO
494324.7244,6995231.9313,12,River Oak Way Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,NARANGBA,Lot 943 HIDEAWAY CLOSE NARANGBA,NO
503416.8291,6992108.2738,13,Esplanade Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,DECEPTION BAY,2B MAINE TERRACE DECEPTION BAY,NO
